Scenario_Name,ID_Country,ID_Sector,ID_EnergyCarrier,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ref,Austria,Tertiary,Electricity,TWh,12.15252306721682,11.84892272288915,11.709241484023421,11.515656155174936,11.48911383932246,11.544165822193838,11.562144927935755,11.586361024108777,11.690356460943972,11.76902284702542,11.721854677496113,11.632756179070793,11.51439287014502,11.433774065397595,11.32229547796042,11.20281681600632,11.080725956472834,10.99035931495283,10.952384161940078,10.923610449907548,10.88665131074077,10.826350481250678,10.807934545944205,10.742372432801806,10.63812246014759,10.576278998745169,10.5464202926634,10.543393850841294,10.481001849855048,10.45604387490964,10.441153761644715
ref,Austria,Tertiary,Light fuel oil,TWh,2.4961096574075965,2.387043901055363,2.234876422614345,2.101882358219084,1.9749727101333678,1.848533025342631,1.7043567966496693,1.5464386077282626,1.3846379848103605,1.2018416094291176,0.9702995251654833,0.7783719686568535,0.6124519057447199,0.46546608260510375,0.36225207189788966,0.288973877645098,0.24337455023435045,0.2132965796519935,0.1913150826582171,0.17160256989230063,0.16196583011125107,0.1534968094862927,0.14673302403755176,0.1395104470923695,0.13381880882422845,0.13105433329043825,0.12459286525341808,0.11898170147254171,0.11905961954143886,0.11877495965280983,0.11961488675916924
ref,Austria,Tertiary,Hard coal,TWh,0.004268140033912649,0.004144290591700015,0.005523186294885528,0.0061051228130219095,0.0072178377294130494,0.00704490498534569,0.006884558900697508,0.006546756425152849,0.006093126120342165,0.005328147914229283,0.005230211087202781,0.003946430699367935,0.002851657602121432,0.0025308256232483414,0.0018440671774012285,0.001460230712246996,0.0014256015422284662,0.0011184845248482023,0.0005498746416779238,0.000525733236348061,0.00032780278685697127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ref,Austria,Tertiary,Natural Gas,TWh,2.390084763088286,2.333790340701027,2.1463193506657228,1.9610805408351022,1.7738949107181785,1.5938624755270092,1.4129858139026579,1.2518681798566695,1.1255754177276114,1.020258012961808,0.9272679173897669,0.8433299248068075,0.7573629800373688,0.6825424700746371,0.6145354124702747,0.5527445446621971,0.5057179712641092,0.4576910437862656,0.4127905991978044,0.37163931007298867,0.3319917455887309,0.29599947651227604,0.26805771110228754,0.24642019164672108,0.23264663114845693,0.22427694570232357,0.21019803024926975,0.2061904304264727,0.19917643170487737,0.1960965541188117,0.19124325776424905
ref,Austria,Tertiary,Biomass solid,TWh,2.3285595831956822,2.286762243682187,2.2763893361355523,2.325046622353987,2.3635256012956436,2.4324892210814784,2.487531581228783,2.5410727514405895,2.6043768331986654,2.6635803560062272,2.7152759047471466,2.7289167006492416,2.708855890743072,2.6901822800433135,2.6443171900583557,2.605026617107739,2.559085434979783,2.4882384596380054,2.430065007678744,2.371027516713396,2.3211903906748463,2.256367927381114,2.203501449987991,2.1390148969578937,2.0694223102533917,2.0179867379959395,1.9693774536938378,1.9200390222842745,1.8639191052868258,1.8193498723992252,1.7894743463979377
ref,Austria,Tertiary,District heating,TWh,6.260775982828663,5.892199573159195,5.627427728170925,5.393793734016544,5.224559069418758,5.0790390920060915,4.957262309541809,4.836194663926718,4.720695114977521,4.605897305259139,4.511912908669793,4.3776449089720515,4.2510186192951265,4.131687574000584,4.0025565676370105,3.85975061503148,3.737491279757707,3.6196141943921485,3.512000500332943,3.403447681096743,3.3120483767027187,3.2126255193911217,3.1316056892687216,3.053660361302828,2.9706460254883704,2.8975670123309194,2.819204803372751,2.756319969287778,2.6802657487578707,2.6337715347412542,2.5743152940697853
ref,Austria,Tertiary,Solar energy,TWh,0.15592987836604275,0.16541537125582198,0.15934460956029053,0.15413289422561033,0.15018516672414559,0.14574167927432927,0.14076908313933978,0.136298300301404,0.13221800611358056,0.1275320581255001,0.12121043393216774,0.11427951936054906,0.10564560366681958,0.09739347097116806,0.08909395211575616,0.0808490076171307,0.07395863684514452,0.06722791029561033,0.061242190369863655,0.055315936180305024,0.04950897029669261,0.044261942292503215,0.040505724035881145,0.0374902652956929,0.03521892234662512,0.03416128219381766,0.033104627656351956,0.03300697926806269,0.03210716135718223,0.03127297621771386,0.030349230074890435
ref,Austria,Tertiary,Ambient Heat,TWh,0.8906911106221591,0.9180571137230814,0.9706819731653368,0.997768583339587,1.0472738958043017,1.092513558739097,1.1546698064177465,1.1949206332693965,1.260246948635532,1.3232345306479567,1.3859305202621601,1.4348643721857943,1.4719054948597206,1.5363160983815225,1.568169229218561,1.5789431880425506,1.5935400358435057,1.614858083622827,1.6302621851034251,1.6358006669576877,1.6560796786724301,1.6567289838805992,1.6631569500187484,1.654317811400776,1.646435496413971,1.635510659642651,1.639741890522755,1.6538930616226815,1.6500077048492943,1.6458131597988437,1.6453689928058766
ref,Austria,Tertiary,Biogas,TWh,0.06055140036473547,0.09049032949730024,0.12576584290554046,0.17174811639821533,0.2153157883598264,0.25350732978388296,0.2855348341793619,0.3157389337398751,0.3484042978803643,0.37987171050044105,0.4032828439460441,0.41313159935401744,0.4180043911785307,0.41772609025037766,0.4197727513819774,0.41559860377561814,0.4066639773316342,0.3929142117002106,0.3780725693092055,0.36560827091799175,0.3491014147387971,0.3317961584825023,0.3158920116612678,0.3042345192696552,0.288853455731249,0.2807466547677197,0.2760158194136729,0.2747106578659821,0.2683035132998179,0.2671240498134071,0.2731518448955463
ref,Austria,Tertiary,Hydrogen,TWh,0.0,0.0,0.0,0.0,0.0,0.0002651110040152131,0.0004904974197257522,0.00048446112257251745,0.0004784715246211591,0.0007951891796112719,0.0007860970799402497,0.0007781605905380912,0.0007639304028161118,0.0007500972077760779,0.0007366467404659659,0.0007235652905210877,0.0006622152694951713,0.0006503261960503114,0.0006414510901023435,0.0006269731624706183,0.0006159580333795601,0.0006052396063551606,0.0005948073583087476,0.00036677483365476045,0.00035909626614146926,0.000310149454487972,0.00030389571147203286,0.0003007994172970831,0.00018342377269415453,0.00018159212080695724,0.0
